Customer Name,Ratings,Review Title,Reviews
emmanuel,4.0 out of 5 stars,Good,No autoduplex function.
manoj,4.0 out of 5 stars,NOT A WIFI PRODUCT,GOOD PRODUCT SO FAR
Nikunj,3.0 out of 5 stars,scan problem,scan colity are very bad
Superb product. Very usefull,5.0 out of 5 stars,Very usefull,Easy to assemble and very durable
CA MADHU SUDHAN.S,4.0 out of 5 stars,Most preferable product,Very useful for office use and good functional product with wi fi most suitable for everyone in their business as well as in office at affordable price
Sunil,5.0 out of 5 stars,Good,Ver good product
Chetan Varshney,4.0 out of 5 stars,Working fine,"Led light is missing in display
Every time low cartridge warning"
Mohan. B,4.0 out of 5 stars,yes,good print very useful
Ramachandra K,4.0 out of 5 stars,Good,"Digital display is very small. There is no light on the display. Calculator display is better than this, if we compare.. I think cartridge quality also not good. Cartridge got empty just in 30 days. Only 800 copies it was printed. Our old hp1018 is printing more than 3000 copies in a single refill."
Darshan hirpara,4.0 out of 5 stars,Best in the range,This is the far by best printer in this range for the normal office use
Ram krishna gupta,3.0 out of 5 stars,It is not user friendly like earlier one.,"Sir/madam
I had paper jam issue.
The printer roller / sensor appears to be defective.To take out jam paper technician sent by you has opened printer fully. And struggling to take jam paper for last one hour. Still not successful.I lodged the complaint approx.one week before and now today person came. If next time paper jam problem comes how I will solve . I am scared. Earlier printer of hp (3 in one) did not have this kind of problem. The printer appears to be defective can it be replaced/ returned. Please do the needful and also give customer care number.
With regards"
Jaspreet Singh,3.0 out of 5 stars,Good printer with bad printer cartridge,"Over all it is a decent experience using this printer, print quality was good in starting but deteriorated in just 15-20 days of usage, setting up the printer was easy, scanning process is way too slow takes a lot of time to scan pages. If you have to print 25-30 pages per day and scan a lot documents daily this device won't be recommended otherwise it is fine product. Company should focus on providing good quality of printer cartridge as mine got exhausted in just 20 days of usage."
Harisankar koiri,4.0 out of 5 stars,"Good product, Easy to use","Printer is good in terms of ease to use, quality of print also good but scan quality was not so good, processing speed little bit slow and usb cable for connection of Pc to printer was not given also, Price is little bit high as compared to specification."
VIKAS DUGGAL,5.0 out of 5 stars,Multipurpose printer,Multipurpose printer... print speed is good..
Amit kumar singh,4.0 out of 5 stars,Good Printer,"The product is good in terms of print quality, installation and operation. Till Today I haven't face any issue regarding printer but the original cartridge which comes with the printer has low page yield than advertised.
I have to change the original cartridge as it stopped working after refilling."
SANJEEV VHAUDHARY,5.0 out of 5 stars,GOOD QUALITY,AMAZING
ajay mittal,5.0 out of 5 stars,Best,
Amulya bhatnagar,4.0 out of 5 stars,Nice,nice
Ranajay basu,4.0 out of 5 stars,Pathetic packaging,"Very much disappointed by the seller who didnt even pack such costly (to me at least dnt know about seller, he might have billions dollar) device in corrugated box or wrapper. It shows carelessness towards prepaid customers. I was not on sopt otherwise I would have returned the product and ask for refund. When I came to the place and opend the box what found is bottom side on top. Very bad experience so far with Amazon. I will never recommend and even if someone is going to buy from this seller make sure you select Cash on delivery bc once you pay them they will treat your products (basically your money) like wastage. So be careful.
Now let jump straight to the product: Once you set your mind to purchase this model make sure you have good eye sight bc it doesn't have any light on screen which may affect your experience after purchase just like me. I didn't expect letters are such small so it's hard to see. Printing quality is moderate, have better experience with model M1136(very very satisfied, after 7 years and still running like a mad horse) which will save your 3k easily. Configuration of Wireless connection is really headache however somehow managed(you need seperate router), connection with smartphone: Haaaa!! I still wondering how it works, your phone could find the wifi of printer and ask for security password...but here is a twist..there is no password anywhere mentioned. You have to be Sherlock Holmes to find wifi password. Gist: Do not waste your hard earnings and go for Laserjet M1136 if you dnt need wireless printer and spend that extra 3k for poor old beggers or stray/injured animals through funding. BTW money is yours do whatever you want to do.."
Bhargav Patel,3.0 out of 5 stars,Printer can't cannot to network and also USB,"Printer doesn't work properly. Not working wifi aur usb,"
Rohit Saha,5.0 out of 5 stars,It was a office purchase.,The build quality was good. It was really easy to install after following the installation guide & the best part was WiFi/wireless printing.
Deepak Kumar,4.0 out of 5 stars,Good wireless printer,"Great thing I feel is wifi printing and scanning. Good printing quality, easy to install, fast printing.
I would like to tell you how to install printer through wireless at home
1. Unbox your product and remove cartridge inserted in the printer
2. Remove paper strip and a plastic cap from cartridge. Insert cartridge into the printer
3. Keep your WiFi switched on and power on the printer. Do not connect printer to computer through usb cable
4. On printer console switch on the WiFi switch. (There will be a WiFi icon on the button)
5. On printer LED display you will see ""searching for WPS"". Your WiFi has WPS switch so switch it on.
6. Printer will be connected through WiFi and an address will be displayed on printer LED.
7. Insert your CD in the computer and do as directed. When it asks for Mode of connection then choose wireless instead of usb cable.
8. Your computer will automatically detect printer then go next.
9. After few minutes your printer will be ready
Any device (mobile, laptop) connected with your wifi can operate your printer."
shyam jivnani,5.0 out of 5 stars,Awesome,Excellent ??
